Channel,Numeric Flags,Hex Flags,Names
The Void,9,0x00000009,"Public, Silent"
warez,13,0x0000000D,"Public, Silent, Restricted"
Backstage,16,0x00000010,System
Blizzard Tech Support,4099,0x00001003,"Public, Global, Moderated"
Open Tech Support,4097,0x00001001,"Public, Global"
Blizzard Chat,4097,0x00001001,"Public, Global"
Clan Recruitment,1,0x00000001,Public
Public Chat,33,0x00000021,"Public, Product-Specific"
Starcraft,33,0x00000021,"Public, Product-Specific"
Brood War,33,0x00000021,"Public, Product-Specific"
Diablo II,33,0x00000021,"Public, Product-Specific"
Lord of Destruction,33,0x00000021,"Public, Product-Specific"
24423lkn,3,0x00000003,"Public, Moderated"
,,,
,,,
,Numeric Flag,Hex Flag,Name
,0,0x00000000,None
,1,0x00000001,Public
,2,0x00000002,Moderated
,4,0x00000004,Restricted
,8,0x00000008,Silent
,16,0x00000010,System
,32,0x00000020,Product-Specific
,4096,0x00001000,Global
,16384,0x00004000,Redirected
,32768,0x00008000,Chat
,65536,0x00010000,Tech Support
